idioma_secreto,espanol
toda moki roze fino niva boze,el niño no busca la maestra
roze nali toda fepa godi pade boze,la médica no cuida el jardinero feliz
toda moki toda delo siro tapa,el niño lee el músico verde
toda nole roze gobi fino boki boze,el perro no lleva la maestra grande
toda nole roze delo nali pade boze,el perro no cuida la médica verde
toda moki roze zibo mese niva,el niño busca la gata azul
toda siro roze gobi bete pade,el músico cuida la niña grande
roze nali toda fepa siro dado,la médica encuentra el músico feliz
toda nole roze sapa bete dado,el perro encuentra la niña joven
roze fino roze delo nali niva boze,la maestra no busca la médica verde
toda nole roze gobi fino pade boze,el perro no cuida la maestra grande
roze fino toda delo godi dado,la maestra encuentra el jardinero verde
roze bete roze gobi nali dado boze,la niña no encuentra la médica grande
toda siro roze gobi fino dado boze,el músico no encuentra la maestra grande
roze fino toda sapa nole tapa,la maestra lee el perro joven
toda godi roze sapa nali peze,el jardinero mira la médica joven
roze mese roze delo fino tapa,la gata lee la maestra verde
toda nole roze zibo nali niva,el perro busca la médica azul
roze bete toda delo moki boki boze,la niña no lleva el niño verde
roze bete roze fepa fino dado,la niña encuentra la maestra feliz
roze nali roze delo mese niva,la médica busca la gata verde
roze nali roze zibo mese pade boze,la médica no cuida la gata azul
toda godi roze zibo bete tapa boze,el jardinero no lee la niña azul
roze mese toda zibo nole peze boze,la gata no mira el perro azul
toda nole toda gobi siro pade,el perro cuida el músico grande
toda godi roze zibo bete peze boze,el jardinero no mira la niña azul
toda nole toda moki niva,el perro busca el niño
roze mese toda nole dado,la gata encuentra el perro
toda siro roze sapa fino niva boze,el músico no busca la maestra joven
roze mese toda zibo godi dado,la gata encuentra el jardinero azul
toda nole roze delo nali niva,el perro busca la médica verde
roze mese toda sapa siro pade,la gata cuida el músico joven
roze bete toda zibo nole pade,la niña cuida el perro azul
toda nole roze sapa fino niva boze,el perro no busca la maestra joven
toda godi roze bete tapa boze,el jardinero no lee la niña
roze fino roze delo nali boki,la maestra lleva la médica verde
roze mese toda fepa nole boki boze,la gata no lleva el perro feliz
roze bete toda zibo siro tapa,la niña lee el músico azul
toda siro roze sapa mese pade boze,el músico no cuida la gata joven
toda godi toda nole dado boze,el jardinero no encuentra el perro
roze nali toda sapa moki boki,la médica lleva el niño joven
roze mese toda zibo nole dado boze,la gata no encuentra el perro azul
roze nali toda zibo godi boki boze,la médica no lleva el jardinero azul
toda moki toda sapa siro tapa,el niño lee el músico joven
toda nole toda fepa siro boki boze,el perro no lleva el músico feliz
toda godi roze gobi mese peze,el jardinero mira la gata grande
toda nole toda gobi godi tapa boze,el perro no lee el jardinero grande
toda godi roze fepa bete pade boze,el jardinero no cuida la niña feliz
roze bete toda godi niva boze,la niña no busca el jardinero
toda moki roze fepa nali dado,el niño encuentra la médica feliz
roze nali toda nole tapa,la médica lee el perro
roze mese toda zibo siro pade boze,la gata no cuida el músico azul
roze mese roze zibo bete niva,la gata busca la niña azul
toda godi toda gobi nole peze,el jardinero mira el perro grande
roze mese toda zibo siro boki,la gata lleva el músico azul
toda godi roze zibo mese pade boze,el jardinero no cuida la gata azul
roze nali roze gobi bete niva boze,la médica no busca la niña grande
roze bete toda gobi godi peze,la niña mira el jardinero grande
toda siro toda zibo moki pade,el músico cuida el niño azul
roze nali toda delo moki niva,la médica busca el niño verde
toda moki roze sapa nali niva,el niño busca la médica joven
roze nali roze fino dado boze,la médica no encuentra la maestra
roze fino toda sapa moki peze boze,la maestra no mira el niño joven
roze bete toda sapa siro tapa,la niña lee el músico joven
roze nali roze delo bete boki boze,la médica no lleva la niña verde
toda siro toda gobi godi niva boze,el músico no busca el jardinero grande
roze fino toda gobi nole peze boze,la maestra no mira el perro grande
roze mese toda moki boki,la gata lleva el niño
roze fino roze sapa mese pade,la maestra cuida la gata joven
toda moki toda gobi nole tapa,el niño lee el perro grande
roze fino roze sapa nali pade,la maestra cuida la médica joven
roze bete roze gobi fino boki boze,la niña no lleva la maestra grande
roze mese roze gobi bete tapa boze,la gata no lee la niña grande
toda moki toda godi dado boze,el niño no encuentra el jardinero
toda moki roze fepa mese tapa boze,el niño no lee la gata feliz
roze fino roze delo bete niva,la maestra busca la niña verde
toda nole roze gobi bete niva boze,el perro no busca la niña grande
toda siro toda delo godi boki boze,el músico no lleva el jardinero verde
toda godi roze gobi mese peze boze,el jardinero no mira la gata grande
toda nole roze delo mese boki boze,el perro no lleva la gata verde
toda siro roze fepa nali peze boze,el músico no mira la médica feliz
toda godi roze fepa mese dado,el jardinero encuentra la gata feliz
toda godi roze gobi nali boki boze,el jardinero no lleva la médica grande
toda siro toda sapa godi niva boze,el músico no busca el jardinero joven
toda godi roze nali peze boze,el jardinero no mira la médica
roze bete toda delo siro pade,la niña cuida el músico verde
roze mese roze nali niva,la gata busca la médica
roze fino toda zibo godi pade,la maestra cuida el jardinero azul
toda godi roze gobi bete niva,el jardinero busca la niña grande
toda nole roze fepa nali pade,el perro cuida la médica feliz
roze bete roze fino pade boze,la niña no cuida la maestra
roze fino roze gobi nali tapa,la maestra lee la médica grande
roze nali toda delo godi tapa,la médica lee el jardinero verde
toda godi toda sapa moki pade boze,el jardinero no cuida el niño joven
roze nali toda fepa nole niva boze,la médica no busca el perro feliz
roze fino toda godi pade,la maestra cuida el jardinero
roze nali roze zibo bete pade boze,la médica no cuida la niña azul
toda godi toda zibo moki peze,el jardinero mira el niño azul
toda nole toda sapa moki peze boze,el perro no mira el niño joven
toda godi roze fino dado boze,el jardinero no encuentra la maestra
toda siro toda nole niva boze,el músico no busca el perro
roze fino toda siro tapa,la maestra lee el músico
roze mese toda fepa godi tapa boze,la gata no lee el jardinero feliz
roze mese toda zibo siro peze boze,la gata no mira el músico azul
roze nali roze mese niva,la médica busca la gata
roze mese roze fepa fino pade,la gata cuida la maestra feliz
roze fino toda moki niva boze,la maestra no busca el niño
toda nole toda moki tapa,el perro lee el niño
roze nali roze fino tapa,la médica lee la maestra
roze fino roze sapa nali boki boze,la maestra no lleva la médica joven
toda godi roze gobi fino boki boze,el jardinero no lleva la maestra grande
toda siro toda delo godi tapa,el músico lee el jardinero verde
roze mese roze fepa bete peze boze,la gata no mira la niña feliz
toda nole toda fepa godi boki boze,el perro no lleva el jardinero feliz
roze fino toda sapa godi pade,la maestra cuida el jardinero joven
roze mese toda zibo moki tapa,la gata lee el niño azul
roze fino toda zibo godi dado,la maestra encuentra el jardinero azul
toda nole toda moki peze,el perro mira el niño
toda moki roze sapa nali tapa boze,el niño no lee la médica joven
toda nole toda delo moki tapa boze,el perro no lee el niño verde
roze bete roze nali peze boze,la niña no mira la médica
roze mese toda delo siro dado boze,la gata no encuentra el músico verde
toda siro roze fepa bete niva,el músico busca la niña feliz
roze nali toda gobi moki boki,la médica lleva el niño grande
roze mese roze delo nali peze boze,la gata no mira la médica verde
roze fino toda zibo godi niva,la maestra busca el jardinero azul
roze bete roze delo fino niva boze,la niña no busca la maestra verde
toda moki toda sapa siro niva,el niño busca el músico joven
roze nali toda delo siro dado,la médica encuentra el músico verde
toda godi toda fepa siro tapa boze,el jardinero no lee el músico feliz
toda godi roze nali boki,el jardinero lleva la médica
roze bete toda sapa siro pade,la niña cuida el músico joven
roze fino toda zibo nole pade,la maestra cuida el perro azul
toda nole toda zibo moki pade,el perro cuida el niño azul
toda nole toda zibo siro pade,el perro cuida el músico azul
toda moki toda godi niva,el niño busca el jardinero
toda moki toda sapa godi pade,el niño cuida el jardinero joven
roze nali roze sapa fino peze boze,la médica no mira la maestra joven
roze fino toda fepa moki tapa,la maestra lee el niño feliz
roze mese roze delo nali niva boze,la gata no busca la médica verde
toda siro roze fepa mese pade,el músico cuida la gata feliz
roze nali toda gobi siro niva boze,la médica no busca el músico grande
toda moki roze delo mese boki,el niño lleva la gata verde
toda godi roze zibo nali pade,el jardinero cuida la médica azul
toda nole toda zibo moki peze,el perro mira el niño azul
toda godi roze delo nali pade,el jardinero cuida la médica verde
toda siro roze fepa fino dado boze,el músico no encuentra la maestra feliz
roze nali roze zibo bete niva boze,la médica no busca la niña azul
toda nole roze zibo bete pade,el perro cuida la niña azul
roze fino roze delo bete boki boze,la maestra no lleva la niña verde
toda moki toda sapa nole niva,el niño busca el perro joven
toda siro roze fepa nali niva boze,el músico no busca la médica feliz
roze fino toda fepa nole boki,la maestra lleva el perro feliz
roze mese toda fepa nole boki,la gata lleva el perro feliz
toda nole toda gobi moki peze boze,el perro no mira el niño grande
toda moki roze delo bete tapa,el niño lee la niña verde
toda nole roze sapa nali peze boze,el perro no mira la médica joven
roze fino toda delo siro peze boze,la maestra no mira el músico verde
toda godi roze sapa bete dado boze,el jardinero no encuentra la niña joven
toda godi toda gobi moki pade,el jardinero cuida el niño grande
toda moki roze gobi nali boki,el niño lleva la médica grande
roze nali toda fepa godi niva,la médica busca el jardinero feliz
roze mese toda siro niva,la gata busca el músico
toda moki toda siro peze,el niño mira el músico
toda siro toda moki boki boze,el músico no lleva el niño
toda moki toda delo godi niva,el niño busca el jardinero verde
roze fino roze nali niva boze,la maestra no busca la médica
roze fino toda moki boki,la maestra lleva el niño
toda moki toda fepa godi tapa,el niño lee el jardinero feliz
roze nali roze zibo mese boki,la médica lleva la gata azul
toda moki toda fepa siro peze boze,el niño no mira el músico feliz
toda nole toda siro tapa,el perro lee el músico
roze bete toda sapa godi peze,la niña mira el jardinero joven
toda nole toda delo godi pade boze,el perro no cuida el jardinero verde
roze fino toda sapa godi tapa,la maestra lee el jardinero joven
roze fino toda gobi nole boki boze,la maestra no lleva el perro grande
roze nali roze zibo mese dado boze,la médica no encuentra la gata azul
roze mese toda fepa moki peze boze,la gata no mira el niño feliz
roze fino roze bete peze,la maestra mira la niña
roze mese toda fepa nole niva boze,la gata no busca el perro feliz
roze nali toda delo moki pade boze,la médica no cuida el niño verde
toda nole roze delo fino dado boze,el perro no encuentra la maestra verde
roze nali toda gobi nole dado boze,la médica no encuentra el perro grande
roze fino roze zibo mese peze boze,la maestra no mira la gata azul
toda godi roze bete pade boze,el jardinero no cuida la niña
toda godi toda sapa moki peze,el jardinero mira el niño joven
toda siro roze zibo fino niva,el músico busca la maestra azul
toda nole roze delo mese pade boze,el perro no cuida la gata verde
toda siro toda gobi godi peze,el músico mira el jardinero grande
toda siro toda moki niva boze,el músico no busca el niño
toda nole roze nali tapa boze,el perro no lee la médica
toda siro roze sapa fino dado boze,el músico no encuentra la maestra joven
toda moki toda gobi siro pade boze,el niño no cuida el músico grande
toda godi roze bete niva,el jardinero busca la niña
toda moki roze gobi mese dado boze,el niño no encuentra la gata grande
toda siro roze delo mese pade,el músico cuida la gata verde
toda nole roze nali niva boze,el perro no busca la médica
roze mese roze fepa bete boki boze,la gata no lleva la niña feliz
roze nali roze mese tapa,la médica lee la gata
roze nali toda sapa siro pade,la médica cuida el músico joven
roze fino toda gobi nole pade,la maestra cuida el perro grande
toda nole roze fepa fino tapa boze,el perro no lee la maestra feliz
roze fino toda gobi siro niva boze,la maestra no busca el músico grande
toda godi roze fepa fino niva boze,el jardinero no busca la maestra feliz
roze mese toda delo moki tapa,la gata lee el niño verde
roze nali toda gobi nole tapa,la médica lee el perro grande
roze bete roze mese tapa,la niña lee la gata
roze nali toda fepa siro pade,la médica cuida el músico feliz
toda nole toda sapa moki boki,el perro lleva el niño joven
roze mese toda delo siro tapa,la gata lee el músico verde
roze mese toda fepa siro niva boze,la gata no busca el músico feliz
toda godi roze zibo bete pade,el jardinero cuida la niña azul
roze fino toda fepa moki dado boze,la maestra no encuentra el niño feliz
toda siro roze zibo bete peze boze,el músico no mira la niña azul
toda godi toda sapa moki dado,el jardinero encuentra el niño joven
toda moki roze delo nali boki,el niño lleva la médica verde
roze bete toda sapa moki dado,la niña encuentra el niño joven
toda godi toda gobi siro dado boze,el jardinero no encuentra el músico grande
roze nali toda fepa nole niva,la médica busca el perro feliz
roze bete toda godi dado,la niña encuentra el jardinero
toda moki roze fino boki,el niño lleva la maestra
roze bete roze sapa mese boki,la niña lleva la gata joven
roze bete roze sapa nali pade boze,la niña no cuida la médica joven
roze nali roze fepa mese niva,la médica busca la gata feliz
toda godi roze zibo bete pade boze,el jardinero no cuida la niña azul
roze mese toda fepa siro dado,la gata encuentra el músico feliz
toda siro toda fepa godi tapa boze,el músico no lee el jardinero feliz
roze fino toda gobi nole tapa boze,la maestra no lee el perro grande
roze mese toda fepa nole tapa,la gata lee el perro feliz
roze fino toda gobi moki pade,la maestra cuida el niño grande
roze mese roze bete pade boze,la gata no cuida la niña
toda godi roze mese dado boze,el jardinero no encuentra la gata
roze mese toda delo godi tapa,la gata lee el jardinero verde
roze mese roze bete tapa boze,la gata no lee la niña
roze nali toda moki tapa boze,la médica no lee el niño
roze bete toda godi pade,la niña cuida el jardinero
toda moki roze zibo fino niva boze,el niño no busca la maestra azul
roze mese roze zibo bete tapa boze,la gata no lee la niña azul
toda nole roze sapa fino niva,el perro busca la maestra joven
toda nole toda moki niva boze,el perro no busca el niño
roze fino toda godi tapa boze,la maestra no lee el jardinero
toda nole roze fepa bete dado,el perro encuentra la niña feliz
roze bete roze gobi mese niva,la niña busca la gata grande
roze nali roze zibo fino pade,la médica cuida la maestra azul
roze nali toda fepa nole peze boze,la médica no mira el perro feliz
roze bete toda fepa nole dado boze,la niña no encuentra el perro feliz
roze fino toda nole boki boze,la maestra no lleva el perro
toda godi toda gobi nole boki,el jardinero lleva el perro grande
toda godi roze mese tapa,el jardinero lee la gata
roze mese toda sapa nole peze,la gata mira el perro joven
toda nole toda sapa godi pade boze,el perro no cuida el jardinero joven
toda nole toda fepa siro tapa boze,el perro no lee el músico feliz
toda nole toda gobi godi pade boze,el perro no cuida el jardinero grande
roze mese roze sapa nali peze,la gata mira la médica joven
toda nole roze delo nali boki boze,el perro no lleva la médica verde
roze bete toda gobi moki niva,la niña busca el niño grande
roze mese roze zibo bete dado,la gata encuentra la niña azul
roze mese toda sapa nole tapa boze,la gata no lee el perro joven
toda nole roze fepa mese pade boze,el perro no cuida la gata feliz
toda godi roze mese peze boze,el jardinero no mira la gata
roze mese toda delo siro peze boze,la gata no mira el músico verde
toda siro roze gobi bete niva,el músico busca la niña grande
toda nole toda gobi moki peze,el perro mira el niño grande
toda godi toda delo nole boki boze,el jardinero no lleva el perro verde
roze bete toda fepa siro pade,la niña cuida el músico feliz
toda godi roze sapa fino dado boze,el jardinero no encuentra la maestra joven
roze nali toda nole niva,la médica busca el perro
roze mese toda gobi nole niva boze,la gata no busca el perro grande
toda moki toda sapa godi pade boze,el niño no cuida el jardinero joven
roze fino toda gobi moki boki boze,la maestra no lleva el niño grande
toda siro roze gobi bete dado boze,el músico no encuentra la niña grande
roze fino toda fepa godi dado boze,la maestra no encuentra el jardinero feliz
roze bete toda delo godi tapa,la niña lee el jardinero verde
toda godi toda zibo siro pade,el jardinero cuida el músico azul
toda moki roze gobi mese pade,el niño cuida la gata grande
roze bete toda fepa siro dado boze,la niña no encuentra el músico feliz
toda siro roze fepa bete peze boze,el músico no mira la niña feliz
roze mese roze gobi nali niva,la gata busca la médica grande
toda siro roze delo mese tapa,el músico lee la gata verde
roze fino toda sapa nole pade,la maestra cuida el perro joven
roze nali toda sapa godi boki,la médica lleva el jardinero joven
toda moki roze fepa nali boki boze,el niño no lleva la médica feliz
toda siro toda gobi nole dado,el músico encuentra el perro grande
roze fino toda delo nole dado,la maestra encuentra el perro verde
toda moki roze fepa mese tapa,el niño lee la gata feliz
toda nole roze delo bete pade,el perro cuida la niña verde
roze fino roze gobi nali niva boze,la maestra no busca la médica grande
roze mese toda delo moki niva boze,la gata no busca el niño verde
toda godi toda siro dado boze,el jardinero no encuentra el músico
toda siro toda zibo godi tapa boze,el músico no lee el jardinero azul
toda moki roze delo fino pade boze,el niño no cuida la maestra verde
toda moki toda gobi nole tapa boze,el niño no lee el perro grande
roze bete roze gobi mese niva boze,la niña no busca la gata grande
roze mese toda zibo siro tapa,la gata lee el músico azul
roze bete roze sapa mese dado,la niña encuentra la gata joven
roze mese roze zibo fino pade,la gata cuida la maestra azul
toda godi roze sapa fino niva boze,el jardinero no busca la maestra joven
toda moki roze nali pade boze,el niño no cuida la médica
toda godi toda fepa nole boki,el jardinero lleva el perro feliz
toda nole toda godi peze boze,el perro no mira el jardinero
toda moki toda sapa siro dado boze,el niño no encuentra el músico joven
toda nole toda gobi godi niva boze,el perro no busca el jardinero grande
roze fino toda gobi nole niva,la maestra busca el perro grande
roze fino roze sapa nali dado,la maestra encuentra la médica joven
toda moki toda gobi godi dado,el niño encuentra el jardinero grande
roze mese roze fepa fino peze,la gata mira la maestra feliz
toda siro roze sapa nali tapa boze,el músico no lee la médica joven
toda nole toda moki peze boze,el perro no mira el niño
roze mese roze sapa bete tapa,la gata lee la niña joven
toda siro roze fepa fino tapa,el músico lee la maestra feliz
toda nole toda delo siro peze boze,el perro no mira el músico verde
roze bete toda fepa godi pade boze,la niña no cuida el jardinero feliz
roze nali toda zibo moki peze boze,la médica no mira el niño azul
toda nole roze zibo nali tapa,el perro lee la médica azul
roze nali roze sapa bete niva,la médica busca la niña joven
toda moki roze sapa fino dado boze,el niño no encuentra la maestra joven
toda moki toda fepa godi tapa boze,el niño no lee el jardinero feliz
toda nole toda delo moki boki boze,el perro no lleva el niño verde
roze bete toda gobi moki peze boze,la niña no mira el niño grande
roze nali toda fepa siro pade boze,la médica no cuida el músico feliz
roze bete roze nali pade boze,la niña no cuida la médica
toda nole toda gobi moki boki,el perro lleva el niño grande
toda nole toda zibo godi dado boze,el perro no encuentra el jardinero azul
roze fino toda sapa siro tapa,la maestra lee el músico joven
toda siro toda fepa godi boki,el músico lleva el jardinero feliz
toda siro roze delo nali tapa,el músico lee la médica verde
roze fino toda fepa nole boki boze,la maestra no lleva el perro feliz
toda siro roze bete tapa,el músico lee la niña
roze nali toda zibo moki peze,la médica mira el niño azul
roze nali toda delo siro peze,la médica mira el músico verde
roze mese toda godi boki,la gata lleva el jardinero
toda moki roze delo nali tapa boze,el niño no lee la médica verde
roze bete toda fepa nole niva,la niña busca el perro feliz
roze bete toda siro tapa,la niña lee el músico
toda moki toda gobi siro tapa boze,el niño no lee el músico grande
roze fino roze zibo nali tapa,la maestra lee la médica azul
roze nali toda sapa nole niva,la médica busca el perro joven
toda moki toda nole niva boze,el niño no busca el perro
roze bete roze delo nali dado boze,la niña no encuentra la médica verde
toda siro toda delo nole dado boze,el músico no encuentra el perro verde
roze mese toda sapa siro tapa boze,la gata no lee el músico joven
toda moki roze fepa fino niva boze,el niño no busca la maestra feliz
toda nole roze fino niva,el perro busca la maestra
toda moki roze sapa mese boki boze,el niño no lleva la gata joven
roze fino roze bete dado,la maestra encuentra la niña
toda moki roze delo bete boki boze,el niño no lleva la niña verde
roze mese toda fepa nole dado,la gata encuentra el perro feliz
roze nali toda gobi godi pade,la médica cuida el jardinero grande
roze nali toda gobi godi dado,la médica encuentra el jardinero grande
toda godi toda delo nole pade boze,el jardinero no cuida el perro verde
toda siro roze fepa mese niva boze,el músico no busca la gata feliz
roze fino roze gobi nali boki boze,la maestra no lleva la médica grande
toda nole roze nali peze,el perro mira la médica
roze bete toda gobi godi pade,la niña cuida el jardinero grande
roze fino toda zibo godi dado boze,la maestra no encuentra el jardinero azul
toda siro toda zibo moki boki,el músico lleva el niño azul
toda godi roze sapa nali peze boze,el jardinero no mira la médica joven
toda nole toda zibo godi peze boze,el perro no mira el jardinero azul
toda moki toda siro dado boze,el niño no encuentra el músico
toda nole toda fepa siro dado,el perro encuentra el músico feliz
toda godi toda nole boki boze,el jardinero no lleva el perro
roze mese toda godi niva,la gata busca el jardinero
roze bete toda sapa godi niva,la niña busca el jardinero joven
roze fino roze nali peze boze,la maestra no mira la médica
roze fino toda gobi godi peze boze,la maestra no mira el jardinero grande
toda nole toda zibo godi boki,el perro lleva el jardinero azul
toda godi toda fepa siro tapa,el jardinero lee el músico feliz
roze mese roze delo fino dado,la gata encuentra la maestra verde
toda godi roze gobi mese dado boze,el jardinero no encuentra la gata grande
roze fino toda sapa siro niva boze,la maestra no busca el músico joven
toda siro roze delo bete pade,el músico cuida la niña verde
toda moki roze sapa fino niva,el niño busca la maestra joven
toda moki roze gobi bete peze,el niño mira la niña grande
roze nali toda moki dado,la médica encuentra el niño
toda moki roze fepa bete dado boze,el niño no encuentra la niña feliz
toda nole toda gobi godi boki,el perro lleva el jardinero grande
roze fino roze zibo nali peze,la maestra mira la médica azul
toda godi toda gobi siro niva boze,el jardinero no busca el músico grande
toda nole toda fepa godi pade boze,el perro no cuida el jardinero feliz
roze mese toda gobi nole peze,la gata mira el perro grande
roze bete roze nali boki,la niña lleva la médica
toda nole toda fepa siro pade boze,el perro no cuida el músico feliz
toda moki roze sapa fino tapa,el niño lee la maestra joven
toda siro toda fepa nole peze boze,el músico no mira el perro feliz
toda siro roze gobi nali boki boze,el músico no lleva la médica grande
toda godi roze sapa bete niva boze,el jardinero no busca la niña joven
toda moki roze zibo nali tapa,el niño lee la médica azul
